1740D-174Q2-233_S204	CRC0161LMX0A02202TUMD12000
1740D-174Q2-234_S298	CRC0059LMX0A02204TUMD07000
1740D-174Q2-235_S239	CRC0123LMX0A02204TUMD07000
1740D-174Q2-236_S205	CRC0152LMX0B02204TUMD12000
1740D-174Q2-237_S206	CRC0066LMX0A02204TUMD11000
1740D-174Q2-238_S207	CRC0169LMX0B02204TUMD11000
1740D-174Q2-239_S285	CRC0031LMX0A02203TUMD18000
1740D-174Q2-240_S240	CRC1745LMX0A01001TUMD04000
1740D-174Q2-241_S241	CRC0051LMX0B01001TUMD05000
1740D-174Q2-242_S208	CRC0080LMX0B01201TUMD06000
1740D-174Q2-243_S209	CRC1870LMX0A01001TUMD04000
1740D-174Q2-244_S210	CRC1895LMX0B01001TUMD04000
1740D-174Q2-245_S242	CRC1900LMX0A01001TUMD04000
1740D-174Q2-246_S211	CRC1903LMX0A01001TUMD04000
1740D-174Q2-247_S212	CRC1897LMX0B01001TUMD04000
1740D-174Q2-248_S213	CRC1961LMX0A01001TUMD04000
1740D-174Q2-249_S214	CRC0475LMX0B02004TUMD03000
1740D-174Q2-250_S215	CRC0542LMX0B02004TUMD11000
1740D-174Q2-251_S216	CRC1432LMX0A03005TUMD04000
1740D-174Q2-252_S217	CRC0096LMX0B02203TUMD05000
1740D-174Q2-253_S218	CRC0277LMX0A01204TUMD11000
1740D-174Q2-254_S219	CRC0568LMX0A02003TUMD10000
1740D-174Q2-255_S286	CRC1239LMX0B01001TUMD09000
1740D-174Q2-256_S220	CRC1241LMX0A01001TUMD09000
1740D-174Q2-257_S221	CRC1245LMX0B01001TUMD09000
1740D-174Q2-258_S222	CRC1337LMX0A01001TUMD07000
1740D-174Q2-259_S223	CRC0202LMX0B02204TUMD11000
1740D-174Q2-260_S287	CRC0188LMX0A01201TUMD08000
1740D-174Q2-261_S224	CRC0069LMX0A02201TUMD09000
1740D-174Q2-262_S225	CRC0171LMX0B02204TUMD12000
1740D-174Q2-263_S226	CRC0099LMX0A02204TUMD14000
1740D-174Q2-264_S227	CRC0103LMX0B02202TUMD11000
1740D-174Q2-265_S228	CRC0076LMX0B02203TUMD08000
1740D-174Q2-266_S229	CRC0186LMX0B02204TUMD14000
1740D-174Q2-267_S243	CRC1723LMX0A01001TUMD04000
1740D-174Q2-268_S230	CRC1888LMX0B01001TUMD04000
1740D-174Q2-269_S231	CRC0081LMX0B01201TUMD10000
1740D-174Q2-270_S244	CRC0151LMX0A01201TUMD07000
1740D-174Q2-271_S245	CRC1875LMX0A01001TUMD04000
1740D-174Q2-272_S246	CRC1916LMX0A01001TUMD04000
1740D-174Q2-273_S288	CRC1605LMX0B01001TUMD03000
1740D-174Q2-274_S289	CRC0022LMX0B01201TUMD01000
1740D-174Q2-275_S290	CRC0055LMX0B01201TUMD02000
1740D-174Q2-276_S291	CRC0079LMX0B01201TUMD02000
1740D-174Q2-277_S292	CRC0097LMX0B01201TUMD01000
1740D-174Q2-278_S301	CRC0116LMX0B01201TUMD02000
1740D-174Q2-279_S293	CRC0124LMX0B01201TUMD09000
1740D-174Q2-280_S294	CRC0137LMX0B01201TUMD02000
1740D-174Q2-281_S232	CRC0166LMX0A02206TUMD01000
1740D-174Q2-283_S248	CRC1399LMX0B02001TUMD02000
1740D-174Q2-285_S249	CRC1628LMX0A01001TUMD03000
1740D-174Q2-286_S250	CRC1729LMX0A01001TUMD02000
1740D-174Q2-287_S295	CRC1342LMX0B01001TUMD06000
