CRC0022LMO0A04012002D02000	CRC0022LMO0A04012002D02000
CRC0030LMO0A04009001D02000	CRC0030LMO0A04009001D02000
CRC0031LMO0A04012001D02000	CRC0031LMO0A04012001D02000
CRC0051LMO0A02005001D01000	CRC0051LMO0A02005001D01000
CRC0055LMO0A05012001D02000	CRC0055LMO0A05012001D02000
CRC0059LMO0A04013001D01000	CRC0059LMO0A04013001D01000
CRC0063LMO0A01003001D02000	CRC0063LMO0A01003001D02000
CRC0065LMO0A04012002D01000	CRC0065LMO0A04012002D01000
CRC0066LMO0A03011001D01000	CRC0066LMO0A03011001D01000
CRC0069LMO0A04011001D02000	CRC0069LMO0A04011001D02000
CRC0076LMO0B04013001D01000	CRC0076LMO0B04013001D01000
CRC0078LMO0B01003001D03000	CRC0078LMO0B01003001D03000
CRC0079LMO0A04018002D03000	CRC0079LMO0A04018002D03000
CRC0080LMO0A04017001D01000	CRC0080LMO0A04017001D01000
CRC0081LMO0A04012001D02000	CRC0081LMO0A04012001D02000
CRC0095LMO0A05019001D01000	CRC0095LMO0A05019001D01000
CRC0096LMO0C04018001D02000	CRC0096LMO0C04018001D02000
CRC0097LMO0A02003001D01000	CRC0097LMO0A02003001D01000
CRC0099LMO0A04010001D03000	CRC0099LMO0A04010001D03000
CRC0103LMO0A01005001D01000	CRC0103LMO0A01005001D01000
CRC0116LMO0B01009001D01000	CRC0116LMO0B01009001D01000
CRC0123LMO0A01003001D02000	CRC0123LMO0A01003001D02000
CRC0124LMO0B04019001D02000	CRC0124LMO0B04019001D02000
CRC0125LMO0A04016001D02000	CRC0125LMO0A04016001D02000
CRC0134LMO0A04009001D03000	CRC0134LMO0A04009001D03000
CRC0137LMO0A05013001D03000	CRC0137LMO0A05013001D03000
CRC0148LMO0A04008001D02000	CRC0148LMO0A04008001D02000
CRC0150LMO0A01006001D02000	CRC0150LMO0A01006001D02000
CRC0151LMO0A04007001D02000	CRC0151LMO0A04007001D02000
CRC0152LMO0C04010001D02000	CRC0152LMO0C04010001D02000
CRC0161LMO0C04021001D02000	CRC0161LMO0C04021001D02000
CRC0166LMO0B01005001D01000	CRC0166LMO0B01005001D01000
CRC0169LMO0A04014001D01000	CRC0169LMO0A04014001D01000
CRC0171LMO0A04008001D02000	CRC0171LMO0A04008001D02000
CRC0177LMO0A04008002D02000	CRC0177LMO0A04008002D02000
CRC0177LMO0D04017001D02000	CRC0177LMO0D04017001D02000
CRC0186LMO0B04015002D02000	CRC0186LMO0B04015002D02000
CRC0188LMO0A01003001D01000	CRC0188LMO0A01003001D01000
CRC0196LMO0B04008001D02000	CRC0196LMO0B04008001D02000
CRC0202LMO0B01003001D02000	CRC0202LMO0B01003001D02000
CRC0204LMO0B04012001D01000	CRC0204LMO0B04012001D01000
CRC0231LMO0A04014001D02000	CRC0231LMO0A04014001D02000
CRC0254LMO0B04021001D02000	CRC0254LMO0B04021001D02000
CRC0277LMO0A03008001D02000	CRC0277LMO0A03008001D02000
CRC0285LMO0A04008001D02000	CRC0285LMO0A04008001D02000
CRC0291LMO0A04013001D02000	CRC0291LMO0A04013001D02000
CRC0297LMO0B02007003D02000	CRC0297LMO0B02007003D02000
CRC0316LMO0A02006001D02000	CRC0316LMO0A02006001D02000
CRC0322LMO0A04009001D02000	CRC0322LMO0A04009001D02000
CRC0327LMO0B04008001D02000	CRC0327LMO0B04008001D02000
CRC0355LMO0B01006001D02000	CRC0355LMO0B01006001D02000
CRC0370LMO0A01005001D01000	CRC0370LMO0A01005001D01000
CRC0399LMO0A01003001D02000	CRC0399LMO0A01003001D02000
CRC0404LMO0A02011003D01000	CRC0404LMO0A02011003D01000
CRC0441LMO0A04011001D01000	CRC0441LMO0A04011001D01000
CRC0464LMO0A01003001D02000	CRC0464LMO0A01003001D02000
CRC0475LMO0A02004001D02000	CRC0475LMO0A02004001D02000
CRC0515LMO0A01004001D02000	CRC0515LMO0A01004001D02000
CRC0534LMO0B04017001D02000	CRC0534LMO0B04017001D02000
CRC0542LMO0C04013001D02000	CRC0542LMO0C04013001D02000
CRC0544LMO0C04018001D01000	CRC0544LMO0C04018001D01000
CRC0568LMO0A01003001D02000	CRC0568LMO0A01003001D02000
CRC0572LMO0A04008001D02000	CRC0572LMO0A04008001D02000
CRC0578LMO0A04018001D02000	CRC0578LMO0A04018001D02000
CRC0729LMO0A01003001D02000	CRC0729LMO0A01003001D02000
CRC0743LMO0A04022001D01000	CRC0743LMO0A04022001D01000
CRC0772LMO0B04013004D02000	CRC0772LMO0B04013004D02000
CRC1078LMO0A02009002D03000	CRC1078LMO0A02009002D03000
CRC1090LMO0A04011001D02000	CRC1090LMO0A04011001D02000
CRC1139LMO0A04007001D02000	CRC1139LMO0A04007001D02000
CRC1145LMO0A02008001D03000	CRC1145LMO0A02008001D03000
CRC1169LMO0C04008001D02000	CRC1169LMO0C04008001D02000
CRC1239LMO0B04007001D02000	CRC1239LMO0B04007001D02000
