CRC0022LMX0B01201TUMD01000
CRC0030LMX0B02203TUMD12000
CRC0031LMX0A02203TUMD19000
CRC0051LMX0B01001TUMD06000
CRC0055LMX0B01201TUMD02000
CRC0059LMX0A02204TUMD08000
CRC0063LMX0A02204TUMD08000
CRC0065LMX0A02201TUMD08000
CRC0066LMX0A02204TUMD12000
CRC0069LMX0A02201TUMD10000
CRC0076LMX0B02203TUMD09000
CRC0078LMX0A01201TUMD10000
CRC0079LMX0B01201TUMD02000
CRC0080LMX0B01201TUMD07000
CRC0081LMX0B01201TUMD11000
CRC0095LMX0B01201TUMD04000
CRC0096LMX0B02203TUMD06000
CRC0097LMX0B01201TUMD01000
CRC0099LMX0A02204TUMD15000
CRC0103LMX0B02202TUMD12000
CRC0116LMX0B01201TUMD02000
CRC0123LMX0A02204TUMD08000
CRC0124LMX0B01201TUMD09000
CRC0125LMX0A02204TUMD07000
CRC0134LMX0A02204TUMD12000
CRC0137LMX0B01201TUMD02000
CRC0148LMX0A02201TUMD12000
CRC0150LMX0A02204TUMD13000
CRC0151LMX0A01201TUMD08000
CRC0152LMX0B02204TUMD13000
CRC0161LMX0A02202TUMD13000
CRC0166LMX0A02206TUMD01000
CRC0169LMX0B02204TUMD12000
CRC0171LMX0B02204TUMD13000
CRC0177LMX0B05001TUMD07000
CRC0177LMX0B07002TUMD05000
CRC0186LMX0B02204TUMD15000
CRC0188LMX0A01201TUMD09000
CRC0196LMX0B02201TUMD12000
CRC0202LMX0B02204TUMD12000
CRC0204LMX0B01201TUMD04000
CRC0231LMX0A02204TUMD13000
CRC0254LMX0B01201TUMD04000
CRC0277LMX0A01204TUMD12000
CRC0285LMX0B02204TUMD08000
CRC0291LMX0B02201TUMD08000
CRC0297LMX0A01201TUMD09000
CRC0316LMX0A02005TUMD08000
CRC0322LMX0A02201TUMD13000
CRC0327LMX0A02201TUMD13000
CRC0355LMX0A01201TUMD15000
CRC0370LMX0B02003TUMD10000
CRC0399LMX0B02004TUMD10000
CRC0404LMX0B02004TUMD12000
CRC0441LMX0B01001TUMD08000
CRC0464LMX0A02002TUMD10000
CRC0475LMX0B02004TUMD04000
CRC0515LMX0A02003TUMD12000
CRC0534LMX0A02004TUMD10000
CRC0542LMX0B02004TUMD12000
CRC0544LMX0B01001TUMD07000
CRC0568LMX0A02003TUMD11000
CRC0572LMX0B01001TUMD08000
CRC0578LMX0B01001TUMD07000
CRC0729LMX0B01001TUMD08000
CRC0743LMX0A01001TUMD07000
CRC0772LMX0A01001TUMD07000
CRC1078LMX0A01001TUMD08000
CRC1139LMX0A01001TUMD08000
CRC1145LMX0B01001TUMD07000
CRC1169LMX0B01001TUMD07000
CRC1239LMX0B01001TUMD10000
CRC1241LMX0A01001TUMD10000
CRC1245LMX0B01001TUMD10000
CRC1251LMX0B01001TUMD07000
CRC1257LMX0A01001TUMD10000
CRC1272LMX0A02002TUMD08000
CRC1278LMX0A01001TUMD07000
CRC1306LMX0A01001TUMD08000
CRC1307LMX0A01001TUMD05000
CRC1314LMX0B01001TUMD05000
CRC1321LMX0B01001TUMD08000
CRC1329LMX0A01001TUMD05000
CRC1331LMX0B01001TUMD05000
CRC1337LMX0A01001TUMD08000
CRC1342LMX0B01001TUMD06000
CRC1359LMX0A01001TUMD12000
CRC1360LMX0B01001TUMD05000
CRC1367LMX0A01001TUMD05000
CRC1376LMX0B01001TUMD05000
CRC1389LMX0B01001TUMD05000
CRC1390LMX0A01001TUMD05000
CRC1399LMX0B02001TUMD02000
CRC1430LMX0A01001TUMD05000
CRC1432LMX0A03005TUMD05000
CRC1445LMX0A01001TUMD05000
CRC1446LMX0A01001TUMD05000
CRC1448LMX0A01001TUMD05000
CRC1449LMX0B01001TUMD05000
CRC1451LMX0A01001TUMD05000
CRC1460LMX0A01001TUMD05000
CRC1472LMX0A01001TUMD05000
CRC1477LMX0B01001TUMD05000
CRC1502LMX0A01001TUMD05000
CRC1523LMX0A01001TUMD05000
CRC1530LMX0B01001TUMD05000
CRC1561LMX0B01001TUMD05000
CRC1563LMX0A01001TUMD05000
CRC1566LMX0A01001TUMD05000
CRC1568LMX0B01001TUMD06000
CRC1575LMX0B01001TUMD05000
CRC1579LMX0A01001TUMD05000
CRC1588LMX0B02001TUMD05000
CRC1589LMX0B01001TUMD05000
CRC1598LMX0B01001TUMD05000
CRC1599LMX0A01001TUMD05000
CRC1605LMX0B01001TUMD03000
CRC1606LMX0A01001TUMD05000
CRC1614LMX0A01001TUMD05000
CRC1620LMX0B01001TUMD06000
CRC1628LMX0A01001TUMD03000
CRC1629LMX0B01001TUMD05000
CRC1675LMX0A01001TUMD09000
CRC1723LMX0A01001TUMD05000
CRC1729LMX0A01001TUMD02000
CRC1744LMX0A01001TUMD05000
CRC1745LMX0A01001TUMD05000
CRC1757LMX0A01001TUMD05000
CRC1772LMX0A01001TUMD05000
CRC1774LMX0A01001TUMD05000
CRC1870LMX0A01001TUMD05000
CRC1875LMX0A01001TUMD05000
CRC1883LMX0A01001TUMD05000
CRC1888LMX0B01001TUMD05000
CRC1895LMX0B01001TUMD05000
CRC1897LMX0B01001TUMD05000
CRC1900LMX0A01001TUMD05000
CRC1903LMX0A01001TUMD05000
CRC1916LMX0A01001TUMD05000
CRC1917LMX0B01001TUMD05000
CRC1949LMX0B01001TUMD05000
